1388287592,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/filipina-weekender/1388287592,Filipina weekender,$150.00,< 4 km,03/10/2018

1388200466,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/wanted/1388200466,Wanted,$600.00,< 4 km,03/10/2018

1388257565,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/cozy-room-furnished-all-included/1388257565,"Cozy room, furnished, all included",$800.00,< 5 km,03/10/2018

1388257321,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/short-term-roommate-downtown-shared-room/1388257321,Short-Term Roommate Downtown Shared Room,$900.00,< 3 km,03/10/2018

1388256736,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/short-term-roommate-downtown-private-room/1388256736,Short-Term Roommate Downtown Private Room,"$1,100.00",< 3 km,03/10/2018

1388251437,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1388251437,Room for rent,$850.00,< 5 km,02/10/2018

1388249643,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/large-room-in-4-room-apartment-near-ttc-downtown/1388249643,"Large room in 4-room apartment, near TTC/downtown",$650.00,< 4 km,02/10/2018

1388092167,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1388092167,Room for rent,"$1,000.00",< 3 km,02/10/2018

1388011081,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-downtown/1388011081,"Room for rent, Downtown",$990.00,< 2 km,02/10/2018

1370892197,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/800-very-convenient-location-in-downtown-area-dundas/1370892197,$800 Very convenient location IN DOWNTOWN AREA！ DUNDAS,$800.00,< 2 km,02/10/2018

1388020707,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/new-luxury-available-immediately-great-location/1388020707,New luxury available immediately great location,$300.00,< 3 km,01/10/2018

1387949275,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/5-rooms-available-in-large-downtown-house-brand-new-renovation/1387949275,5 ROOMS available in LARGE DOWNTOWN HOUSE-BRAND NEW RENOVATION,"$1,000.00",< 4 km,01/10/2018

1387758215,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/studio-apartment-to-share-lgbt-friendly/1387758215,Studio apartment to share. LGBT friendly,$750.00,< 5 km,30/09/2018

1387683982,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/charming-room/1387683982,Charming Room,$800.00,< 5 km,30/09/2018

1387679372,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-in-three-story-house-in-junction-bloorvillage/1387679372,Room in three story house in junction/bloorvillage,$800.00,< 5 km,30/09/2018

1387668336,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/be-part-of-a-happy-family-you-me-plus-1-more-includes-meals/1387668336,"Be Part Of A Happy Family, You, Me Plus 1 more, Includes Meals",$700.00,< 4 km,30/09/2018

1387633042,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/move-in-today-short-term-roommates-2-weeks-room-available/1387633042,"move in today Short term roommates, 2 weeks room available",$775.00,Near you,30/09/2018

1387434441,https://www.kijiji.ca/v-room-rental-roommate/sarnia/basement-sharing/1387434441,basement sharing,$250.00,< 4 km,30/09/2018

1387416576,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/spadina-bloor-all-inclusive-room-available/1387416576,Spadina/Bloor All Inclusive Room Available,"$1,000.00",< 4 km,30/09/2018

1387494349,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/college-and-bathurst-room-for-rent-in-row-house/1387494349,College and Bathurst Room for Rent in Row House,$925.00,< 3 km,29/09/2018

1387442474,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/sublet-for-7-nights:-for-woman-or-couple:-sept-30-oct-7-noon/1387442474,Sublet for 7 nights: For Woman or Couple: Sept 30-Oct 7 Noon,$400.00,< 4 km,29/09/2018

1387118674,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/looking-for-a-roommate-in-a-2-bed-2-bath-condo-downtown/1387118674,Looking for a Roommate in a 2 Bed 2 Bath CONDO Downtown,"$1,200.00",< 4 km,27/09/2018

1387069072,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/sunny-room-for-an-awesome-roommate/1387069072,sunny room for an awesome roommate,$917.00,< 4 km,27/09/2018

1387026839,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/newly-furnished-room-at-bathurst-dundas-utilities-wifi-incl/1387026839,Newly Furnished Room at Bathurst/Dundas (Utilities & Wifi incl.),$750.00,< 2 km,27/09/2018

1387007738,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-bedroom-rental-in-annex/1387007738,Private Bedroom Rental in Annex,$900.00,< 4 km,27/09/2018

1386912242,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-in-the-heart-of-toronto/1386912242,FURNISHED ROOM IN THE HEART OF TORONTO,$850.00,< 4 km,27/09/2018

1386894619,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/newly-furnished-room-for-rent-in-esl-foreign-student-home/1386894619,Newly furnished room for rent in ESL/foreign student home,$500.00,< 4 km,26/09/2018

1386890272,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/short-stay-private-room-oct-1-to-22/1386890272,Short stay private room oct 1 to 22,"$1,000.00",< 5 km,26/09/2018

1386692523,https://www.kijiji.ca/v-room-rental-roommate/ottawa/one-bedroom-apartment-for-rent/1386692523,One bedroom apartment for rent,"$1,200.00",< 3 km,26/09/2018

1386763633,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/oct-1st-or-sept-30th-to-oct-7th:-for-woman-or-couple/1386763633,Oct 1st or Sept 30th to Oct  7th: For Woman or Couple,$500.00,< 4 km,26/09/2018

1386712978,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/975-private-fully-furnished-room-for-rent-downtown/1386712978,$975 - Private Fully Furnished Room for rent - Downtown,$975.00,< 5 km,26/09/2018

1386660999,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/looking-for-a-roommate-to-share-my-1-1-den-condo/1386660999,Looking for a roommate to share my 1+1 den condo,$750.00,< 4 km,25/09/2018

1386493067,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/small-den-area-for-lease-in-my-condo/1386493067,Small Den Area For lease In My Condo,$750.00,< 4 km,25/09/2018

1386313110,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/great-location-private-washroom-in-heart-downtown/1386313110,great location private washroom in heart downtown,$770.00,< 3 km,24/09/2018

